# titre | catégorie | ingrédients (grammes pour 2 portions, eau en ml) | préparation,cuisson,repos | équipement | étapes spécifiques séparées par ~
Galette épaisse de polenta aux poivrons rôtis|plat|polenta:140,poivron:350,epinard:180,huile:14,eau:500|20,50,30|hob,oven|Faire rôtir les poivrons en lanières 25 min à 190 °C avec la moitié de l'huile. Cuire les épinards à couvert 4 min et les égoutter en conservant leurs solides.~Cuire la polenta dans 500 ml d'eau jusqu'à épaississement. Ajouter épinards et huile restante ; étaler sur 2 cm dans un plat chemisé et laisser prendre 30 min.~Répartir les poivrons dessus et remettre au four 15 min. Découper en quatre parts.
Quinoa aux navets glacés dans leur jus et aux amandes|plat|quinoa:140,navet:300,carotte:150,amande:25,huile:12,eau:400|15,30,0|hob|Couper navets et carotte en petits quartiers. Les cuire à couvert avec 100 ml d'eau et l'huile pendant 20 min, puis découvrir pour concentrer le jus sans sucre.~Cuire le quinoa rincé avec 300 ml d'eau 15 min dans une seconde casserole.~Mélanger les deux préparations et terminer avec les amandes concassées.
Sarrasin au cresson et aux champignons farcis|plat|sarrasin:140,champignon:350,cresson:100,huile:12,eau:300|25,35,0|hob,oven|Séparer les pieds des gros champignons de leurs chapeaux. Hacher les pieds.~Cuire le sarrasin avec 300 ml d'eau 15 min ; ajouter les pieds hachés après 5 min et le cresson lavé pendant les 3 dernières minutes.~Incorporer l'huile, garnir les chapeaux et cuire 20 min à 180 °C. Servir l'excédent de garniture à côté.
Riz complet aux choux de Bruxelles effeuillés|plat|riz:140,choux_bruxelles:300,carotte:180,noix:25,huile:12,eau:400|20,45,0|hob|Cuire le riz rincé avec 350 ml d'eau 35 à 45 min.~Retirer la base des choux, les couper très finement. Les cuire avec la carotte râpée, l'huile et 50 ml d'eau pendant 12 min à couvert.~Mélanger au riz, puis ajouter les noix juste avant de servir.
Poêlée de quinoa aux haricots verts et céleri|plat|quinoa:140,haricot_vert:300,celeri:120,huile:12,eau:330|15,25,0|hob|Cuire le quinoa rincé dans 300 ml d'eau 15 min.~Équeuter les haricots et les cuire à la vapeur 12 min. Émincer le céleri et le faire fondre avec 30 ml d'eau 5 min.~Réunir les ingrédients dans la sauteuse, incorporer l'huile et réchauffer 2 min.
Terrine de sarrasin aux carottes et champignons|plat|sarrasin:140,carotte:220,champignon:220,farine_sarrasin:30,huile:12,eau:360|25,55,30|hob,oven|Cuire le sarrasin avec 300 ml d'eau 18 min pour obtenir des grains très tendres. Faire cuire les carottes râpées et les champignons hachés à couvert 12 min.~Écraser la moitié du sarrasin. Mélanger avec le reste, les légumes, la farine, l'huile et 60 ml d'eau.~Tasser dans un petit moule chemisé et cuire 30 min à 180 °C. Laisser tiédir 30 min pour faciliter la découpe ; la texture reste tendre.
Pommes de terre farcies à la purée de petits pois|plat|pomme_terre:500,petits_pois:250,ciboulette:8,huile:14,eau:60|15,60,0|oven,hob,blender|Cuire les pommes de terre entières lavées au four à 190 °C pendant 50 à 60 min selon leur taille.~Cuire les petits pois à la vapeur 8 min. Mixer avec l'eau, l'huile et la ciboulette.~Ouvrir les pommes de terre, prélever un peu de chair et la mélanger à la purée verte. Garnir généreusement et servir chaud.
Triangles de polenta, fenouil et courgette|plat|polenta:140,fenouil:250,courgette:250,huile:14,eau:520|20,40,30|hob,oven|Cuire la polenta avec 500 ml d'eau, l'étaler sur 1,5 cm dans un plat et laisser prendre 30 min.~Tailler fenouil et courgette en fines lamelles. Les cuire 15 min à couvert avec 20 ml d'eau et la moitié de l'huile.~Couper la polenta en triangles, badigeonner d'huile restante et dorer 15 min à 200 °C. Servir avec les légumes.
Quinoa en bouillon de légumes maison|soupe|quinoa:120,carotte:180,navet:180,celeri:80,chou:160,eau:1000|20,30,0|hob|Tailler carotte, navet et céleri en petits dés, puis émincer le chou.~Mettre les légumes dans l'eau et faire frémir 12 min. Ajouter le quinoa rincé.~Cuire encore 15 à 18 min jusqu'à tendreté. Servir les grains et tous les légumes avec le bouillon.
Riz complet à la crème de courgette et aux asperges|plat|riz:140,courgette:300,asperge:250,huile:12,eau:450|20,45,0|hob,blender|Cuire le riz rincé dans 350 ml d'eau pendant 35 à 45 min.~Cuire les courgettes en cubes à la vapeur 10 min et les asperges 6 à 10 min. Mixer les courgettes avec 100 ml d'eau et l'huile.~Napper le riz de cette sauce et poser les asperges dessus.
Sarrasin aux aubergines confites et basilic|plat|sarrasin:140,aubergine:400,basilic:10,huile:18,eau:320|15,45,0|hob,oven|Couper l'aubergine en cubes de 2 cm, mélanger avec l'huile et 40 ml d'eau dans un plat couvert.~Cuire 35 min à 190 °C, puis découvrir 5 min. Pendant ce temps, cuire le sarrasin avec 280 ml d'eau 15 min.~Mélanger au jus des aubergines et terminer avec le basilic ciselé.
Nids de pommes de terre aux champignons et persil|plat|pomme_terre:500,champignon:300,persil:10,huile:16|25,45,0|oven,hob|Râper les pommes de terre et les presser dans un torchon propre. Mélanger avec la moitié de l'huile.~Tasser dans quatre empreintes larges de moule, en creusant le centre. Cuire 30 à 35 min à 190 °C jusqu'à ce que les bords soient cuits et dorés.~Faire cuire les champignons émincés 10 min dans leur jus, ajouter l'huile restante et le persil. Garnir les nids juste avant de servir.
Quinoa aux deux textures de carotte|plat|quinoa:140,carotte:450,noisette:25,huile:12,eau:360|20,35,0|hob,blender|Réserver 100 g de carotte et râper finement. Cuire le reste en rondelles à la vapeur 20 min.~Cuire le quinoa rincé avec 300 ml d'eau 15 min. Mixer la carotte cuite avec 60 ml d'eau et l'huile.~Servir le quinoa sur la purée, ajouter carotte crue et noisettes concassées.
Riz complet aux blettes et crème de noix|plat|riz:140,blette:350,noix:35,huile:8,eau:450|20,45,0|hob,blender|Cuire le riz rincé avec 350 ml d'eau 35 à 45 min.~Cuire les côtes de blette en fins tronçons à la vapeur 20 min. Mixer les noix avec 100 ml d'eau tiède et l'huile.~Mélanger la sauce au riz chaud et servir avec les blettes.
Crêpes de sarrasin roulées à la courge musquée|plat|farine_sarrasin:140,courge:400,epinard:150,huile:14,eau:320|25,35,30|hob,blender|Mélanger farine et eau puis laisser reposer 30 min.~Cuire la courge à la vapeur 20 min et l'écraser. Cuire les épinards à couvert 4 min, puis les incorporer à la purée.~Utiliser l'huile mesurée pour cuire quatre crêpes dans une poêle antiadhésive, 2 min par face. Étaler la garniture et rouler ; servir immédiatement.
Polenta au céleri-rave et à la fondue de fenouil|plat|polenta:140,celeri_rave:300,fenouil:200,huile:12,eau:600|20,30,0|hob|Couper le céleri-rave en petits dés et le cuire à la vapeur 20 min, puis l'écraser.~Émincer le fenouil très finement et le cuire à couvert 15 min dans 50 ml d'eau avec l'huile.~Cuire la polenta avec les 550 ml d'eau restants, incorporer la purée de céleri-rave et servir avec le fenouil fondant.
Bol salé de sarrasin, courgette râpée et sésame|petit-dejeuner|sarrasin:120,courgette:300,sesame:20,ciboulette:6,eau:300|10,20,0|hob|Cuire le sarrasin rincé dans l'eau 15 min à feu doux.~Ajouter la courgette râpée et poursuivre 5 min en remuant pour obtenir un bol moelleux.~Répartir dans deux bols et parsemer de sésame et ciboulette.
Petites crêpes de sarrasin aux carottes râpées|petit-dejeuner|farine_sarrasin:120,carotte:180,huile:12,eau:230|15,20,20|hob|Mélanger farine et eau, puis laisser reposer 20 min.~Incorporer la carotte très finement râpée. Répartir l'huile sur la poêle au fil des cuissons.~Cuire huit petites crêpes à feu moyen-doux, environ 3 min de chaque côté, pour cuire la carotte sans brûler l'extérieur.
Quinoa du matin à la courge et aux noisettes|petit-dejeuner|quinoa:120,courge:300,noisette:25,eau:350|10,25,0|hob|Rincer le quinoa et détailler la courge en dés de 1 cm.~Faire mijoter ensemble dans l'eau à couvert pendant 20 à 25 min, jusqu'à ce que la courge s'écrase et le quinoa soit tendre.~Écraser quelques dés pour lier le bol et parsemer de noisettes hachées.
Polenta du matin aux épinards et pignons|petit-dejeuner|polenta:110,epinard:240,pignon:20,huile:8,eau:500|10,15,0|hob|Faire tomber les épinards lavés dans une casserole couverte 4 min.~Cuire la polenta dans l'eau selon l'emballage, en remuant régulièrement.~Ajouter épinards et huile, répartir en bols puis parsemer de pignons.
Palets de pommes de terre et brocoli à la poêle|petit-dejeuner|pomme_terre:400,brocoli:250,farine_sarrasin:30,huile:16|20,30,0|hob|Cuire le brocoli à la vapeur 8 min puis le hacher finement. Râper les pommes de terre et les presser dans un torchon propre.~Mélanger avec le brocoli et la farine ; former six galettes fines.~Cuire avec l'huile mesurée dans une poêle antiadhésive, à couvert 7 min par face, puis découvrir 2 min pour sécher la surface. Vérifier que le centre de pomme de terre est tendre.
Riz tendre du matin aux carottes et amandes|petit-dejeuner|riz:110,carotte:250,amande:25,eau:500|10,50,0|hob|Rincer le riz. Le cuire avec l'eau à feu doux et à couvert 40 min, en surveillant le niveau.~Ajouter la carotte finement râpée et poursuivre 10 min jusqu'à une texture très tendre.~Répartir dans deux bols, ajouter les amandes hachées et servir tiède.
Tartines maison de sarrasin à l'avocat et aux radis|petit-dejeuner|farine_sarrasin:120,avocat:140,radis:120,ciboulette:6,huile:8,eau:200|15,15,20|hob|Mélanger farine et eau, laisser reposer 20 min puis cuire quatre galettes épaisses avec l'huile, 3 à 4 min par face.~Écraser l'avocat sans citron. Couper les radis en rondelles et ciseler la ciboulette.~Tartiner les galettes encore tièdes d'avocat et ajouter les radis et la ciboulette.
Quinoa moelleux au fenouil et aux noix|petit-dejeuner|quinoa:120,fenouil:300,noix:25,eau:350|10,25,0|hob|Émincer le fenouil très finement et le faire cuire 8 min dans 50 ml d'eau à couvert.~Ajouter le quinoa rincé et les 300 ml d'eau restants. Cuire 15 à 18 min à feu doux.~Égrener légèrement et ajouter les noix concassées au moment de servir.
# Légumineuses
Lentilles vertes en cocotte de fenouil et carotte|plat|lentille:160,fenouil:240,carotte:180,huile:12,eau:550|15,40,0|hob|Rincer les lentilles, émincer le fenouil et couper la carotte en petits dés.~Réunir dans une cocotte avec l'eau et faire frémir 35 à 40 min à couvert jusqu'à tendreté, en ajoutant de l'eau si nécessaire.~Découvrir pour réduire un jus trop abondant et incorporer l'huile au service.
Velouté épais de lentilles corail et courge|soupe|corail:150,courge:400,ciboulette:8,huile:12,eau:800|15,25,0|hob,blender|Rincer les lentilles corail et couper la courge en cubes de 2 cm.~Cuire ensemble dans l'eau à petit frémissement 20 à 25 min, jusqu'à ce que la courge soit tendre.~Mixer avec l'huile, répartir dans des bols et ajouter la ciboulette.
Pois cassés aux champignons et céleri branche|plat|pois_casses:160,champignon:300,celeri:120,huile:12,eau:800|15,60,0|hob|Rincer les pois cassés et les cuire 40 min à couvert dans l'eau, en remuant le fond de temps à autre.~Ajouter les champignons en quartiers et le céleri finement émincé. Poursuivre 20 min, jusqu'à tendreté des pois.~Réduire le jus à découvert si nécessaire et terminer avec l'huile.
Pois chiches rôtis, chou-fleur et persil|plat|pois_chiches:160,chou_fleur:450,persil:12,huile:18,eau:250|20,120,720|hob,oven|Faire tremper les pois chiches 12 h au réfrigérateur dans une grande quantité d'eau, puis jeter cette eau. Les cuire dans une nouvelle eau frémissante 60 à 90 min jusqu'à complète tendreté, puis égoutter.~L'eau indiquée dans les ingrédients représente une estimation de l'eau absorbée ; l'eau technique de trempage et de cuisson sera jetée. Sécher les pois chiches et les mélanger au chou-fleur en petits bouquets et à l'huile.~Rôtir 25 à 30 min à 190 °C en remuant à mi-cuisson. Terminer avec le persil.
Haricots blancs maison aux endives braisées|plat|haricots_blancs:160,endive:400,carotte:120,huile:14,eau:350|20,105,720|hob|Faire tremper les haricots 12 h au réfrigérateur, jeter l'eau puis les cuire dans une eau nouvelle : 10 min à franche ébullition puis 50 à 80 min à frémissement, jusqu'à tendreté.~Égoutter les haricots. L'eau indiquée inclut 250 ml estimés absorbés pendant la cuisson et 100 ml à utiliser pour braiser les endives coupées en deux avec la carotte et l'huile, pendant 20 min.~Ajouter les haricots dans la sauteuse et réchauffer 5 min à couvert.
Galettes de lentilles corail et chou-fleur au four|plat|corail:150,chou_fleur:350,farine_sarrasin:30,huile:14,eau:350|25,50,20|hob,oven|Cuire les lentilles corail avec 350 ml d'eau 20 min jusqu'à une purée épaisse. Cuire le chou-fleur à la vapeur 12 min et l'écraser.~Laisser tiédir 20 min, puis mélanger les deux préparations et la farine. Déposer huit galettes à la cuillère sur une plaque chemisée.~Badigeonner d'huile et cuire 25 min à 190 °C, en retournant délicatement après 15 min.
Lentilles vertes aux betteraves et mâche|salade|lentille:150,betterave:300,mache:100,noix:25,huile:14,eau:350|20,60,30|hob,oven|Cuire la betterave en petits dés dans un plat couvert à 190 °C pendant 40 à 50 min.~Cuire les lentilles dans une grande casserole d'eau 30 à 35 min et égoutter. Les 350 ml listés représentent une estimation de l'eau retenue par les lentilles ; jeter l'excédent.~Refroidir rapidement les éléments cuits puis mélanger avec la mâche, les noix et l'huile au moment de servir.
Purée de pois cassés, carottes et sésame|plat|pois_casses:160,carotte:300,sesame:20,huile:10,eau:850|15,65,0|hob,blender|Rincer les pois cassés et les cuire dans l'eau 35 min à feu doux.~Ajouter les carottes en fines rondelles et poursuivre 25 à 30 min, jusqu'à ce que les pois et les carottes s'écrasent facilement.~Mixer grossièrement avec l'huile. Servir en purée épaisse avec le sésame.
Barquettes d'aubergine aux lentilles et quinoa|plat|lentille:100,quinoa:80,aubergine:450,basilic:10,huile:16,eau:480|25,55,0|hob,oven|Couper les aubergines en deux, quadriller la chair et badigeonner avec la moitié de l'huile. Cuire 35 min à 190 °C.~Cuire les lentilles dans 300 ml d'eau 30 à 35 min et le quinoa dans 180 ml d'eau 15 min. Mélanger avec un peu de chair d'aubergine prélevée et le basilic.~Garnir les coques, ajouter l'huile restante et cuire encore 10 min.
Ragoût de pois chiches aux blettes|plat|pois_chiches:160,blette:400,carotte:120,huile:14,eau:500|20,115,720|hob|Faire tremper les pois chiches 12 h au réfrigérateur, jeter l'eau puis les cuire dans de l'eau renouvelée 60 à 90 min. Égoutter ; 250 ml du volume listé représentent l'eau absorbée.~Couper les blettes et la carotte en petits morceaux. Les cuire dans les 250 ml d'eau restants à couvert 20 min.~Ajouter pois chiches et huile, puis faire mijoter 5 min pour réunir les saveurs.
Écrasé de haricots blancs sous des poivrons rôtis|plat|haricots_blancs:160,poivron:400,basilic:10,huile:16,eau:350|20,110,720|hob,oven,blender|Tremper les haricots 12 h au réfrigérateur. Jeter l'eau puis cuire dans une eau nouvelle, 10 min à franche ébullition puis 50 à 80 min à frémissement. Égoutter ; 250 ml d'eau listés représentent l'absorption.~Cuire les poivrons en lanières au four à 190 °C pendant 25 min avec la moitié de l'huile.~Mixer les haricots avec 100 ml d'eau chaude et l'huile restante. Servir cette purée avec les poivrons et le basilic.
Chou-fleur rôti sur crème de lentilles vertes|plat|lentille:160,chou_fleur:500,persil:12,huile:16,eau:500|20,45,0|hob,oven,blender|Couper le chou-fleur en petits bouquets, l'enrober de la moitié de l'huile et rôtir 30 min à 190 °C.~Cuire les lentilles rincées avec 400 ml d'eau 35 à 40 min jusqu'à tendreté.~Mixer les lentilles avec les 100 ml d'eau restants et l'huile restante. Servir le chou-fleur sur cette crème et parsemer de persil.
Lentilles corail à la crème de carotte et noisettes|plat|corail:160,carotte:350,noisette:25,huile:12,eau:550|15,30,0|hob,blender|Cuire les carottes en rondelles dans 200 ml d'eau à couvert 20 min, puis mixer avec leur eau.~Cuire les lentilles rincées dans les 350 ml d'eau restants 20 min, en remuant le fond.~Mélanger la purée de carotte aux lentilles, ajouter huile et noisettes concassées.
Petits pains moelleux de lentilles corail au basilic|plat|corail:160,farine_sarrasin:50,courgette:220,basilic:12,huile:14,eau:350|25,60,30|hob,oven|Cuire les lentilles avec l'eau jusqu'à absorption, environ 20 à 25 min, et laisser tiédir 30 min.~Râper finement la courgette et la presser. Mélanger avec les lentilles écrasées, la farine, le basilic et l'huile.~Répartir dans six empreintes de petit moule et cuire 30 à 35 min à 180 °C. Démouler tiède ; la texture est dense et moelleuse, sans levure.
Pois cassés aux navets et noix|plat|pois_casses:160,navet:300,noix:25,ciboulette:8,eau:850|15,65,0|hob|Cuire les pois cassés rincés dans l'eau 35 min.~Ajouter les navets en petits cubes et poursuivre 25 à 30 min en remuant régulièrement.~Écraser quelques pois pour lier le ragoût. Ajouter noix et ciboulette hors du feu.
Cocotte de lentilles vertes aux côtes de blette et champignons|plat|lentille:160,blette:400,champignon:200,huile:14,eau:600|20,45,0|hob|Retirer les fils épais des côtes de blette et les émincer avec les champignons.~Cuire les lentilles dans l'eau 20 min, ajouter les légumes et poursuivre 20 à 25 min.~Terminer avec l'huile et servir en cocotte ; aucun roulage de feuilles n'est nécessaire.
Salade tiède de pois chiches et brocoli au sésame|salade|pois_chiches:160,brocoli:350,sesame:20,huile:12,eau:250|20,100,720|hob|Tremper les pois chiches 12 h au réfrigérateur puis jeter l'eau. Cuire dans de l'eau renouvelée 60 à 90 min et égoutter ; les 250 ml listés correspondent à une estimation de l'absorption.~Cuire le brocoli à la vapeur 8 min en gardant les bouquets entiers.~Mélanger les pois chiches tièdes et le brocoli avec l'huile. Parsemer de sésame avant de servir.
Palets de haricots blancs et betterave au four|plat|haricots_blancs:160,betterave:250,farine_sarrasin:40,huile:14,eau:250|25,120,750|hob,oven|Tremper les haricots 12 h au réfrigérateur, jeter l'eau puis cuire dans une eau nouvelle : 10 min à franche ébullition puis 50 à 80 min à frémissement. Égoutter ; l'eau listée estime l'absorption.~Cuire la betterave en petits cubes à la vapeur 30 à 40 min. Écraser avec les haricots, laisser tiédir 30 min puis mélanger avec la farine.~Déposer huit palets à la cuillère sur une plaque chemisée, badigeonner d'huile et cuire 25 min à 190 °C. Retourner délicatement à mi-cuisson.
Lentilles corail en sauce de poivron doux|plat|corail:160,poivron:350,courgette:200,huile:14,eau:500|20,35,0|hob,blender|Couper le poivron et le cuire à couvert dans 150 ml d'eau pendant 20 min, puis mixer.~Cuire les lentilles dans les 350 ml d'eau restants avec la courgette en petits dés, pendant 20 min.~Incorporer la sauce de poivron et l'huile. Réchauffer brièvement sans attacher au fond.
Poivrons farcis aux pois cassés et carottes|plat|pois_casses:150,poivron:400,carotte:180,huile:14,eau:650|25,90,0|hob,oven|Cuire les pois cassés et la carotte râpée dans l'eau 55 à 65 min, jusqu'à une purée épaisse.~Couper les poivrons en deux et retirer graines et membranes. Incorporer l'huile à la purée.~Garnir les demi-poivrons, couvrir le plat et cuire 25 à 30 min à 180 °C.
Timbales de lentilles vertes et courge au four|plat|lentille:150,courge:350,farine_sarrasin:30,persil:10,huile:12,eau:400|25,60,20|hob,oven|Cuire les lentilles dans l'eau 35 min, puis réduire l'excédent de liquide. Cuire la courge à la vapeur 20 min.~Écraser la courge et la moitié des lentilles. Laisser tiédir 20 min, puis mélanger avec farine, persil, huile et lentilles entières.~Répartir dans quatre ramequins et cuire 20 min à 180 °C. Servir dans les ramequins pour préserver la tenue.
Pois chiches fondants au céleri-rave et aux noisettes|plat|pois_chiches:160,celeri_rave:350,noisette:25,huile:12,eau:400|20,115,720|hob|Tremper les pois chiches 12 h au réfrigérateur, jeter l'eau et cuire dans une eau nouvelle 60 à 90 min. Égoutter ; 250 ml du volume listé estiment l'absorption.~Cuire le céleri-rave en dés dans les 150 ml d'eau restants à couvert 20 min.~Ajouter pois chiches et huile, réchauffer 5 min, puis parsemer de noisettes.
Riz aux lentilles vertes et chou rouge étuvé|plat|lentille:100,riz:100,chou_rouge:300,huile:14,eau:600|20,45,0|hob|Rincer riz et lentilles. Les cuire dans 500 ml d'eau à couvert 35 à 45 min, en vérifiant la tendreté des deux.~Émincer très finement le chou rouge et le cuire dans 100 ml d'eau à couvert 20 min.~Mélanger au riz et aux lentilles, incorporer l'huile et servir chaud.
Quinoa et lentilles corail en courgettes farcies|plat|quinoa:90,corail:100,courgette:500,basilic:10,huile:14,eau:450|25,50,0|hob,oven|Couper les courgettes en deux et les évider partiellement. Hacher la chair prélevée.~Cuire quinoa, lentilles corail et chair de courgette dans l'eau 20 min, jusqu'à une farce assez épaisse ; incorporer basilic et huile.~Garnir les courgettes et cuire à couvert 25 à 30 min à 180 °C.
